City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Brookings,US,86.0,clear sky,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
334,Tual,ID,81.1,light rain,-5.6667,132.75,Grand Vilia Hotel
335,Dhidhdhoo,MV,82.85,overcast clouds,6.8833,73.1,Dhidhoo beach
337,Coahuayana,MX,80.29,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
338,Kaura Namoda,NG,82.54,clear sky,12.5898,6.5779,Moonlight Hotel
339,Fare,PF,80.17,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
343,Tautira,PF,79.43,few clouds,-17.7333,-149.15,Pension Oaoa
345,Yuli,NG,75.78,overcast clouds,9.6989,10.2744,
347,Jiuquan,CN,81.48,clear sky,39.7432,98.5174,Jiuquan Hotel
355,Dongsheng,CN,77.92,clear sky,39.8161,109.9776,Crowne Plaza Ordos
357,Natal,BR,75.42,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
361,Monterey,US,87.17,clear sky,36.2505,-121.2516,
364,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
369,Itoman,JP,88.18,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
371,Nouakchott,MR,80.53,light rain,18.0858,-15.9785,HOTEL IMAN
378,Chuzhou,CN,87.53,overcast clouds,32.3219,118.2978,GreenTree Inn Chuzhou Langya Mountain Scenic Area Xijian Road Business Hotel
379,Kenai,US,76.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
380,Cockburn Town,TC,81.14,clear sky,21.4612,-71.1419,Osprey Beach Hotel
390,Lompoc,US,75.58,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
391,Casper,US,87.73,clear sky,42.8666,-106.3131,Ramkota Hotel
393,Sokoni,TZ,77.59,clear sky,-6.4333,39.55,Ujamaa Beach Resort
395,Korla,CN,88.12,scattered clouds,41.7597,86.1469,Gulisitan Hotel
396,Berdigestyakh,RU,78.1,few clouds,62.0989,126.6992,
398,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
399,Labuhan,ID,79.72,overcast clouds,-6.8844,112.2051,DoubleFAG
400,Wajima,JP,81.28,broken clouds,37.4,136.9,Wajiima Onsen Yashio
404,Ambulu,ID,79.88,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
405,Corn Island,NI,80.67,scattered clouds,12.1694,-83.0418,Big Fish Guest House
408,Kassala,SD,82.33,scattered clouds,15.451,36.4,Amassi Hotel Gash
409,Vanimo,PG,85.32,clear sky,-2.6741,141.3028,Vahmoneh Lodge Vanimo
411,Ocos,GT,82.58,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
414,Sarakhs,IR,75.34,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
