City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Sur,OM,22.5667,59.5289,85.08,69,72,15.66,broken clouds
183,Kaeo,NZ,-35.1,173.7833,62.33,79,92,8.37,overcast clouds
184,Rognan,NO,67.0953,15.3878,53.76,68,100,5.93,overcast clouds
185,Dagana,MR,16.5165,-15.5068,86.88,49,1,15.52,clear sky
186,Bengkulu,ID,-3.8004,102.2655,76.66,87,100,3.36,overcast clouds
187,Matara,LK,5.9485,80.5353,77.4,88,100,9.04,overcast clouds
188,Cidreira,BR,-30.1811,-50.2056,61.83,98,100,5.21,overcast clouds
189,Moree,AU,-29.4667,149.85,58.44,44,5,5.1,clear sky
190,Beyneu,KZ,45.3167,55.2,81.88,32,8,16.89,clear sky
191,Mar Del Plata,AR,-38.0023,-57.5575,42.94,64,20,3.44,few clouds
192,Quartucciu,IT,39.2519,9.1794,81.0,61,0,8.05,clear sky
193,Luderitz,NA,-26.6481,15.1594,56.08,72,0,7.2,clear sky
194,Chuy,UY,-33.6971,-53.4616,51.6,69,100,10.09,light rain
195,Genhe,CN,50.7833,121.5167,74.64,41,100,2.55,overcast clouds
196,Shimoda,JP,34.6667,138.95,72.1,88,88,4.81,overcast clouds
197,Lagunas,PE,-5.2269,-75.6753,72.34,98,31,1.5,scattered clouds
198,Alyangula,AU,-13.8483,136.4192,80.01,64,14,16.91,few clouds
199,Luganville,VU,-15.5333,167.1667,75.52,93,100,3.38,light rain
200,Miandrivazo,MG,-19.5167,45.4667,62.89,58,0,4.07,clear sky
201,Seoul,KR,37.5683,126.9778,76.6,83,100,4.61,moderate rain
202,Talara,PE,-4.5772,-81.2719,63.77,86,44,17.16,scattered clouds
203,Cabatuan,PH,10.8794,122.486,83.93,74,18,5.77,few clouds
204,Touros,BR,-5.1989,-35.4608,74.89,90,100,6.38,moderate rain
205,Polevskoy,RU,56.4422,60.1878,54.9,93,15,4.41,few clouds
206,Shuyskoye,RU,59.3736,41.0305,46.24,92,2,3.09,clear sky
207,Turan,VN,16.0678,108.2208,84.18,70,0,3.44,clear sky
208,Isangel,VU,-19.55,169.2667,77.11,73,75,4.61,broken clouds
209,Quixada,BR,-4.9714,-39.0153,72.18,84,100,3.11,overcast clouds
210,Ca Mau,VN,9.1769,105.15,83.8,75,93,3.31,overcast clouds
211,Mizque,BO,-17.941,-65.3402,57.29,81,15,2.73,few clouds
212,Amga,RU,60.8953,131.9608,77.52,38,11,4.85,few clouds
213,Shenjiamen,CN,29.9576,122.298,75.63,94,95,19.75,overcast clouds
214,Dawei,MM,14.0833,98.2,80.82,81,100,1.59,overcast clouds
215,Fortuna,US,40.5982,-124.1573,68.94,71,0,3.0,clear sky
216,Kasongo,CD,-4.45,26.6667,70.66,46,48,3.15,scattered clouds
217,Nanga Eboko,CM,4.6833,12.3667,66.25,99,100,2.51,overcast clouds
218,Wewak,PG,-3.5534,143.6268,84.2,69,9,5.21,clear sky
219,Tomatlan,MX,19.9333,-105.25,80.42,77,100,2.53,overcast clouds
220,San Cristobal,VE,7.7669,-72.225,75.38,87,8,2.46,clear sky
221,Baykit,RU,61.67,96.37,70.75,39,98,3.76,overcast clouds
222,Esperance,AU,-33.8667,121.9,60.48,79,100,13.31,overcast clouds
223,Luan,CH,46.3592,6.9759,56.86,91,99,1.01,light rain
224,Tuatapere,NZ,-46.1333,167.6833,47.84,58,100,3.71,overcast clouds
225,Bansang,GM,13.4333,-14.65,85.71,59,51,2.26,light rain
226,San Quintin,MX,30.4833,-115.95,71.71,69,0,13.29,clear sky
227,Ajdabiya,LY,30.7554,20.2263,74.28,66,0,9.13,clear sky
228,Butaritari,KI,3.0707,172.7902,81.46,77,98,10.83,moderate rain
229,Aloleng,PH,16.1307,119.7824,82.08,67,99,4.41,overcast clouds
230,Ploemeur,FR,47.7333,-3.4333,63.82,94,100,5.75,mist
231,Roald,NO,62.5833,6.1333,57.76,94,100,24.16,light rain
232,Huaral,PE,-11.495,-77.2078,61.65,78,22,5.41,few clouds
233,Grand-Santi,GF,4.25,-54.3833,72.79,98,77,2.57,light rain
234,Fallon,US,39.4735,-118.7774,89.47,6,75,5.75,broken clouds
235,Aviles,ES,43.5547,-5.9248,61.99,91,75,4.61,broken clouds
236,Guhagar,IN,17.4842,73.1929,77.49,87,100,3.24,overcast clouds
237,Bocas Del Toro,PA,9.3333,-82.25,77.7,80,100,3.02,overcast clouds
238,Marawi,PH,7.9986,124.2928,79.48,66,42,1.34,scattered clouds
239,Henties Bay,NA,-22.116,14.2845,54.54,81,0,7.9,clear sky
240,Soroti,UG,1.7146,33.6111,65.08,83,92,4.27,overcast clouds
241,Kaitangata,NZ,-46.2817,169.8464,44.83,48,83,3.22,broken clouds
242,Praya,CV,14.9215,-23.5087,77.54,88,75,11.5,broken clouds
243,Jardim,BR,-21.4803,-56.1381,72.37,59,6,6.46,clear sky
244,Meulaboh,ID,4.1363,96.1285,76.23,87,100,4.76,overcast clouds
245,Hokitika,NZ,-42.7167,170.9667,49.98,51,100,1.95,overcast clouds
246,Geraldton,AU,-28.7667,114.6,54.01,100,40,13.8,scattered clouds
247,Hervey Bay,AU,-25.2986,152.8535,67.01,73,0,8.99,clear sky
248,Krasnoselkup,RU,65.7,82.4667,74.28,41,0,11.59,clear sky
249,Kapoeta,SS,4.7717,33.5903,76.21,56,36,6.24,scattered clouds
250,Polunochnoye,RU,60.8697,60.4153,57.81,89,95,4.0,overcast clouds
251,Luwingu,ZM,-10.2621,29.9271,46.96,89,0,4.7,clear sky
252,College,US,64.8569,-147.8028,78.01,36,40,10.36,smoke
253,Podolinec,SK,49.2587,20.536,57.72,80,100,2.64,overcast clouds
254,Jalu,LY,29.0331,21.5482,77.61,54,0,8.63,clear sky
255,Berlevag,NO,70.8578,29.0864,42.8,81,0,3.44,clear sky
256,Dikson,RU,73.5069,80.5464,38.19,91,100,17.4,light rain
257,Cattolica,IT,43.9575,12.7376,80.4,61,1,8.05,clear sky
258,Lorengau,PG,-2.0226,147.2712,84.69,67,38,5.1,moderate rain
259,Seymchan,RU,62.8833,152.4333,67.95,62,100,6.71,overcast clouds
260,Fairbanks,US,64.8378,-147.7164,78.03,36,0,10.36,smoke
261,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,89,75,9.22,broken clouds
262,Anloga,GH,5.7947,0.8973,76.89,86,100,8.81,overcast clouds
263,Khatanga,RU,71.9667,102.5,53.49,38,87,13.62,overcast clouds
264,Morondava,MG,-20.2833,44.2833,64.38,79,0,10.56,clear sky
265,Bethel,US,41.3712,-73.414,62.69,92,100,0.0,overcast clouds
266,Acapulco,MX,16.8634,-99.8901,76.82,88,100,11.5,drizzle
267,Asyut,EG,27.181,31.1837,78.98,43,0,11.34,clear sky
268,Husavik,IS,66.0449,-17.3389,38.95,84,100,13.94,overcast clouds
269,Kargil,IN,34.5667,76.1,46.81,56,3,3.22,clear sky
270,Warrnambool,AU,-38.3833,142.4833,57.81,73,100,19.95,light rain
271,Nigde,TR,37.8333,34.75,54.88,69,0,2.82,clear sky
272,Riyadh,SA,24.6877,46.7219,91.54,11,1,7.14,clear sky
273,Praia,CV,14.9215,-23.5087,77.54,88,75,11.5,broken clouds
274,Faanui,PF,-16.4833,-151.75,80.33,66,20,8.79,few clouds
275,Arles,FR,43.6768,4.6303,75.4,94,100,5.75,overcast clouds
276,Port Macquarie,AU,-31.4333,152.9167,60.89,46,0,1.14,clear sky
277,Adrasmon,TJ,40.6472,69.9856,62.01,59,100,3.96,overcast clouds
278,Salalah,OM,17.0151,54.0924,82.49,89,75,9.22,broken clouds
279,Patti,IN,31.2808,74.8572,73.47,57,2,5.86,clear sky
280,Georgetown,MY,5.4112,100.3354,80.89,95,20,2.3,few clouds
281,Saint-Joseph,RE,-21.3667,55.6167,62.98,81,91,14.81,light rain
282,Juxtlahuaca,MX,17.4294,-99.1467,69.75,99,100,3.13,overcast clouds
283,Pouebo,NC,-20.4,164.5667,73.92,59,100,7.14,overcast clouds
284,Tezu,IN,27.9167,96.1667,78.49,93,98,1.1,overcast clouds
285,Issoire,FR,45.55,3.25,67.26,95,79,3.65,broken clouds
286,Broome,US,42.2506,-75.833,68.02,79,100,13.8,overcast clouds
287,Comodoro Rivadavia,AR,-45.8667,-67.5,30.06,74,0,3.44,clear sky
288,Aswan,EG,24.0934,32.907,81.7,29,0,16.11,clear sky
289,Magistralnyy,RU,56.1725,107.4458,61.63,58,23,2.33,few clouds
290,Samarai,PG,-10.6167,150.6667,79.45,83,99,15.93,overcast clouds
291,Mahebourg,MU,-20.4081,57.7,65.25,71,17,12.73,few clouds
292,Hamilton,US,39.1834,-84.5333,77.23,94,20,5.75,few clouds
293,Bredasdorp,ZA,-34.5322,20.0403,58.71,83,100,5.99,overcast clouds
294,Saint Anthony,US,45.0205,-93.218,82.9,42,40,10.36,scattered clouds
295,Coihaique,CL,-45.5752,-72.0662,27.21,80,0,3.44,clear sky
296,Pevek,RU,69.7008,170.3133,45.09,60,100,11.97,overcast clouds
297,North Bend,US,43.4065,-124.2243,63.91,88,75,24.16,broken clouds
298,Palmer,US,42.1584,-72.3287,62.67,86,75,0.0,broken clouds
299,Banjar,ID,-8.19,114.9675,82.71,70,99,2.39,overcast clouds
300,Quelimane,MZ,-17.8786,36.8883,64.35,94,40,4.61,scattered clouds
301,Guaratinga,BR,-16.5667,-39.5667,64.76,97,5,1.59,clear sky
302,Puerto Santander,CO,8.3636,-72.4063,85.41,73,39,1.72,scattered clouds
